"Nam","Quoc_gia_to_chuc","Ten_thi_sinh","Hoc_sinh_truong","Giai_thuong","Diem_so","Hang"
1989,"Bulgaria","Nguyễn Anh Linh","THPT chuyên KHTN, ĐHQG Hà Nội","HCĐ",65,15
1990,"Liên Xô","Trần Hoài Linh","THPT chuyên KHTN, ĐHQG Hà Nội","HCB",52,12
1990,"Liên Xô","Nguyễn Anh Linh","THPT chuyên KHTN, ĐHQG Hà Nội","HCĐ",41,22
1990,"Liên Xô","Nguyễn Việt Hà","THPT chuyên KHTN, ĐHQG Hà Nội","HCĐ",37.5,28
1991,"Hy Lạp","Nguyễn Hòa Bình","Khối PT chuyên tin, Đại học Bách Khoa Hà Nội","HCĐ",56.5,36
1991,"Hy Lạp","Đàm Hiếu Chí","THPT chuyên KHTN, ĐHQG Hà Nội","HCĐ",50.5,44
1992,"Đức","Nguyễn Tuấn Việt","Khối PT chuyên tin, Đại học Bách Khoa Hà Nội","HCV",100,1
1992,"Đức","Phạm Minh Tuấn","Khối PT chuyên tin, Đại học Bách Khoa Hà Nội","HCB",95,23
1992,"Đức","Hà Công Thành","THPT chuyên KHTN, ĐHQG Hà Nội","HCĐ",84,51
1992,"Đức","Lê Văn Trí","THPT chuyên KHTN, ĐHQG Hà Nội","HCĐ",84,51
1993,"Argentina","Lê Gia Quốc Thống","THPT Gia Định, Thành phố Hồ Chí Minh","HCĐ",70.5,58
1993,"Argentina","Phạm Việt Thắng","THPT chuyên KHTN, ĐHQG Hà Nội","HCĐ",61.5,80
1994,"Thụy Điển","Trương Xuân Nam","THPT chuyên KHTN, ĐHQG Hà Nội","HCB",53.5,34
1994,"Thụy Điển","Trần Minh Châu","THPT chuyên KHTN, ĐHQG Hà Nội","HCB",53,35
1994,"Thụy Điển","Phạm Bảo Sơn","THPT chuyên KHTN, ĐHQG Hà Nội","HCB",52.5,37
1994,"Thụy Điển","Cao Minh Trí","THPT chuyên Lê Hồng Phong, Nam Định","HCĐ",45.5,56
1995,"Hà Lan","Lê Sĩ Quang","THPT Lê Quý Đôn - Hà Đông, Hà Nội","HCB",65.5,40
1995,"Hà Lan","Phạm Bảo Sơn","THPT chuyên KHTN, ĐHQG Hà Nội","HCB",60,55
1995,"Hà Lan","Lê Thụy Anh","Hệ PTTH chuyên Toán – Tin, Đại học Tổng Hợp TPHCM","HCĐ",51,81
1995,"Hà Lan","Bùi Thế Duy","THPT chuyên KHTN, ĐHQG Hà Nội","HCĐ",49.5,88
1996,"Hungary","Phan Việt Hải","Phổ thông Năng khiếu, ĐHQG TP.HCM","HCB",75.5,52
1996,"Hungary","Bùi Thế Duy","THPT chuyên KHTN, ĐHQG Hà Nội","HCĐ",63.5,75
